M,I,v,S,A,E_f,V_i,V_f,Q_i,Q_f,Ierr,g_i,g_f,DOI
2,1,0.1027689999991707,4.288486100505292e-50,1.0438e-18,8309.081064,5 2 2 0 4,3 2 2 1 1,32 e,32 f,0.0070710678118654,65,65,10.1093/mnras/staa1874
2,1,0.1037260000011883,4.6899101531333535e-53,8.235099999999999e-24,7165.218964,3 4 4 0 1,5 1 1 0 5,17 f,16 f,0.0070710678118654,35,33,10.1093/mnras/staa1874
2,1,0.1052920000001904,9.974221310404292e-55,1.1428e-21,9217.429801,4 1 1 1 5,2 1 1 2 2,58 e,58 f,0.0050249378105604,117,117,10.1093/mnras/staa1874
2,1,0.1066009999985908,3.403468004639255e-50,9.601800000000001e-20,7644.477526000001,4 0 0 1 3,0 1 1 3 1,11 e,10 e,0.0007071067811865,23,21,10.1093/mnras/staa1874
2,1,0.1080789999987246,4.15112772242777e-50,4.9081000000000005e-19,8045.081859000001,3 2 2 1 1,5 2 2 0 4,19 e,19 f,0.0070710678118654,39,39,10.1093/mnras/staa1874
2,1,0.1133899999995264,8.218323664000833e-52,1.7027e-25,5721.10141,4 1 1 0 5,0 5 5 1 1,14 f,15 f,0.0070710678118654,29,31,10.1093/mnras/staa1874
2,1,0.1149009999999179,1.6384316997442795e-55,1.9399e-24,8021.941581999999,4 1 1 1 5,0 5 5 2 1,18 e,18 f,0.0050249378105604,37,37,10.1093/mnras/staa1874
2,1,0.1200260000005073,7.675575405668375e-56,1.5672999999999998e-23,8720.953308,1 0 0 3 1,4 4 4 0 2,33 e,34 e,0.0070710678118654,67,69,10.1093/mnras/staa1874
2,1,0.1201960000016697,3.100153734796699e-50,8.248400000000001e-19,8245.264419,1 3 3 2 1,4 4 4 0 3,25 e,24 e,0.0070710678118654,51,49,10.1093/mnras/staa1874
2,1,0.1227939999998852,6.995979053648986e-58,1.1573999999999999e-26,7917.094776000001,0 5 5 2 1,4 1 1 1 5,8 f,8 e,0.0050249378105604,17,17,10.1093/mnras/staa1874
2,1,0.1239260000002104,2.631137182592158e-53,1.5739e-18,9876.686163,5 1 1 1 4,3 1 1 2 1,32 e,33 e,0.0070710678118654,65,67,10.1093/mnras/staa1874
2,1,0.124909000000116,6.189080871159184e-50,8.9583e-19,8077.003294,5 2 2 0 4,3 2 2 1 1,21 f,21 e,0.0070710678118654,43,43,10.1093/mnras/staa1874
2,1,0.1257859999996071,5.77267218613071e-48,5.7845e-20,6621.788682,3 3 3 0 1,3 4 4 0 4,26 f,27 f,0.0070710678118654,53,55,10.1093/mnras/staa1874
2,1,0.126220000000103,9.211218349531505e-54,1.4279000000000002e-19,9510.096924,4 2 2 1 1,4 3 3 1 4,21 e,20 e,0.0070710678118654,43,41,10.1093/mnras/staa1874
2,1,0.1341809999994438,1.450345476198487e-54,5.1605e-24,7662.025058,2 4 4 1 2,0 1 1 3 1,12 f,12 e,0.0050249378105604,25,25,10.1093/mnras/staa1874
2,1,0.1346600000015314,8.889903806632146e-56,2.7204e-23,8698.619469,4 2 2 1 5,4 4 4 0 1,22 f,21 f,0.0070710678118654,45,43,10.1093/mnras/staa1874
2,1,0.1391240000011748,7.237642581941823e-54,1.1727999999999999e-23,7647.352373999999,2 0 0 2 1,2 4 4 1 3,26 e,26 f,0.0070710678118654,53,53,10.1093/mnras/staa1874
2,1,0.1402669999988575,5.7582384042993834e-55,3.0688e-23,8523.680527,5 1 1 0 4,0 4 4 2 1,57 e,57 f,0.0050249378105604,115,115,10.1093/mnras/staa1874
2,1,0.1442939999997179,2.263240326658758e-53,1.1526e-20,8814.939367,3 4 4 1 4,2 2 2 2 2,25 e,26 e,0.0070710678118654,51,53,10.1093/mnras/staa1874
2,1,0.145567999999912,3.584928277931498e-50,5.7121e-19,8236.82818,4 0 0 1 5,2 0 0 2 2,49 e,50 e,0.0050249378105604,99,101,10.1093/mnras/staa1874
2,1,0.1463800000001356,2.6494944684221656e-52,8.5315e-20,8849.937327,3 3 3 1 4,3 2 2 1 1,48 e,49 e,0.0070710678118654,97,99,10.1093/mnras/staa1874
2,1,0.1469260000003487,9.863066480991779e-55,3.9938e-24,7652.797527,0 1 1 3 1,2 4 4 1 2,11 f,11 e,0.0050249378105604,23,23,10.1093/mnras/staa1874
2,1,0.1501529999986814,1.7933226714992872e-52,2.7739e-18,9628.14275,5 0 0 1 4,1 1 1 3 2,45 e,46 e,0.0050249378105604,91,93,10.1093/mnras/staa1874
2,1,0.1552340000007461,9.619739808613689e-53,2.6766000000000003e-23,7151.981505,5 1 1 0 5,3 4 4 0 1,15 e,16 e,0.0070710678118654,31,33,10.1093/mnras/staa1874
2,1,0.1617589999987103,2.480335325657126e-58,1.7390000000000002e-21,10605.366398,1 0 0 4 1,6 0 0 1 2,12 e,11 e,0.0050249378105604,25,23,10.1093/mnras/staa1874
2,1,0.1638649999986228,1.8002017741376146e-58,7.786799999999999e-26,8529.153967,4 2 2 1 5,2 5 5 1 1,8 f,7 f,0.0070710678118654,17,15,10.1093/mnras/staa1874
2,1,0.1665040000007138,9.001369359448513e-50,1.804e-18,8094.150573999999,5 2 2 0 4,3 2 2 1 1,22 e,22 f,0.0070710678118654,45,45,10.1093/mnras/staa1874
2,1,0.1690250000001469,4.801863458046432e-56,1.0271999999999998e-24,8014.080917,3 3 3 1 4,4 0 0 1 1,14 e,15 e,0.0050249378105604,29,31,10.1093/mnras/staa1874
2,1,0.1713930000005348,3.03007965698856e-50,6.984e-21,7238.758637999999,5 1 1 0 6,4 2 2 0 2,31 e,30 e,0.0070710678118654,63,61,10.1093/mnras/staa1874
2,1,0.1764009999997142,1.2153062478591869e-49,3.8459e-24,5351.4939890000005,2 4 4 0 3,2 0 0 1 1,24 e,25 e,0.0070710678118654,49,51,10.1093/mnras/staa1874
2,1,0.1808900000014546,8.913171151923452e-45,3.7429e-18,5660.447843999999,2 1 1 1 2,4 1 1 0 5,8 e,7 e,0.0070710678118654,17,15,10.1093/mnras/staa1874
2,1,0.1809880000000703,3.242198627261213e-52,5.6470000000000016e-18,9715.5626,0 1 1 3 1,3 2 2 1 3,74 e,75 e,0.0050249378105604,149,151,10.1093/mnras/staa1874
2,1,0.1825259999995978,7.167994469760921e-55,1.4095999999999998e-23,8052.191409,4 1 1 1 5,0 5 5 2 1,20 e,20 f,0.0050249378105604,41,41,10.1093/mnras/staa1874
2,1,0.1825359999993452,2.082956964133185e-49,3.3399e-18,8191.549036,5 1 1 0 4,3 1 1 1 1,49 e,50 e,0.0070710678118654,99,101,10.1093/mnras/staa1874
2,1,0.1832129999993412,1.0748675245807833e-45,1.2917000000000001e-17,6603.839442,4 2 2 0 5,2 2 2 1 2,29 f,28 f,0.0070710678118654,59,57,10.1093/mnras/staa1874
2,1,0.1832380000014382,1.3213261958464664e-51,4.0006e-22,7260.532429999999,2 3 3 1 2,0 0 0 3 1,28 e,27 e,0.0050249378105604,57,55,10.1093/mnras/staa1874
2,1,0.186362000000372,3.453586102135682e-48,8.017600000000001e-20,6689.016955,4 2 2 0 4,2 2 2 1 1,23 f,23 e,0.0070710678118654,47,47,10.1093/mnras/staa1874
2,1,0.1887759999990521,1.7385805329513889e-47,4.8774e-18,7311.007131,4 2 2 0 3,1 1 1 2 1,40 e,40 f,0.0070710678118654,81,81,10.1093/mnras/staa1874
2,1,0.1922990000002755,1.8525196223992542e-58,2.3371e-23,9985.055133,4 3 3 1 4,2 0 0 3 3,40 e,39 e,0.0070710678118654,81,79,10.1093/mnras/staa1874
2,1,0.1937379999999393,1.806181432525214e-48,2.7454000000000004e-18,7721.795956,4 2 2 0 4,1 1 1 2 2,56 e,55 e,0.0070710678118654,113,111,10.1093/mnras/staa1874
